title,title_raw,company,location,date_posted,category,skills,job_url,search_keyword,scraped_at,source
Senior Java Software Engineer,Senior Java Software Engineer,HPS,Casablanca-Settat,2026-03-24,Software Dev,java,https://ma.linkedin.com/jobs/view/senior-java-software-engineer-at-hps-4389754346,Data Engineer,2026-03-24T22:37:34.257684,linkedin
Data Scientist,Data Scientist Senior,Publicis Global Delivery (PGD),Casablanca Metropolitan Area,2026-03-23,Data & AI,,https://ma.linkedin.com/jobs/view/data-scientist-senior-at-publicis-global-delivery-pgd-4389082002,Data Engineer,2026-03-24T22:37:34.257102,linkedin
Ingnieur Dveloppeur Fullstack Node Js / React (H-F),Ingnieur dveloppeur Fullstack Node JS / React (H-F),SQLI,Rabat,2026-03-19,Software Dev,"sql, react, node",https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-d%C3%A9veloppeur-fullstack-node-js-react-h-f-at-sqli-4387817465,Data Engineer,2026-03-24T22:37:34.256539,linkedin
Senior Software Engineer - X Delivery,Senior Software Engineer - X Delivery,Boston Consulting Group (BCG),Casablanca,2026-03-20,Software Dev,,https://ma.linkedin.com/jobs/view/senior-software-engineer-x-delivery-at-boston-consulting-group-bcg-4357637967,Data Engineer,2026-03-24T22:37:34.255999,linkedin
Tech Lead Sql/Python | Devoteam Maroc Nearshore,Tech Lead SQL/Python | Devoteam Maroc Nearshore,Devoteam,Rabat,2026-03-21,Other,"python, sql",https://ma.linkedin.com/jobs/view/tech-lead-sql-python-devoteam-maroc-nearshore-at-devoteam-4317945050,Data Engineer,2026-03-24T22:37:34.240385,linkedin
Software Integration Testing Engineer,Software Integration Testing Engineer,Hashlist,Casablanca Metropolitan Area,2026-03-21,Software Dev,,https://ma.linkedin.com/jobs/view/software-integration-testing-engineer-at-hashlist-4388297271,Data Engineer,2026-03-24T22:37:34.239551,linkedin
Senior Machine Learning Engineer,Senior Machine Learning Engineer,Onclusive,Rabat Metropolitan Area,2026-03-24,Other,,https://ma.linkedin.com/jobs/view/senior-machine-learning-engineer-at-onclusive-4373950052,Data Engineer,2026-03-24T22:37:34.238772,linkedin
Automotive Software Integration Engineer,Automotive Software Integration Engineer,Capgemini Engineering,Casablanca,2026-03-18,Software Dev,,https://ma.linkedin.com/jobs/view/automotive-software-integration-engineer-at-capgemini-engineering-4387420765,Data Engineer,2026-03-24T22:37:34.237977,linkedin
Data Collector,Data Collector,Firstsource,Morocco,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/data-collector-at-firstsource-4389556307,Data Engineer,2026-03-24T22:37:34.223790,linkedin
Automotive Software Integration Engineer,Automotive Software Integration Engineer,Capgemini,Casablanca,2026-03-19,Software Dev,,https://ma.linkedin.com/jobs/view/automotive-software-integration-engineer-at-capgemini-4387642079,Data Engineer,2026-03-24T22:37:34.223107,linkedin
Data Engineer,Data Engineer senior GCP (H/F) Devoteam Maroc Nearshore,Devoteam,Rabat,2026-03-23,Data & AI,gcp,https://ma.linkedin.com/jobs/view/data-engineer-senior-gcp-h-f-devoteam-maroc-nearshore-at-devoteam-4318726396,Data Engineer,2026-03-24T22:37:34.222435,linkedin
Ingnieur Suivi De Fiabilit / Reliability Data Analyst (H/F)  Casablanca,Ingnieur suivi de fiabilit / Reliability Data Analyst (H/F)  Casablanca,LGM,Casablanca,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-suivi-de-fiabilit%C3%A9-reliability-data-analyst-h-f-%E2%80%93-casablanca-at-lgm-4368009858,Data Engineer,2026-03-24T22:37:34.221718,linkedin
Java Software Engineer (Relocation To Portugal),Java Software Engineer (Relocation to Portugal),Affinity,Rabat Metropolitan Area,2026-03-19,Software Dev,java,https://ma.linkedin.com/jobs/view/java-software-engineer-relocation-to-portugal-at-affinity-4387862834,Data Engineer,2026-03-24T22:37:34.220974,linkedin
Lead Tech Data Ia - F/H,Lead Tech Data IA - F/H,Niji,Casablanca,2026-03-19,Data & AI,,https://ma.linkedin.com/jobs/view/lead-tech-data-ia-f-h-at-niji-4385479801,Data Engineer,2026-03-24T22:37:34.190213,linkedin
Sme Data (H/F),SME Data (H/F),SQLI,Rabat,2026-03-19,Data & AI,sql,https://ma.linkedin.com/jobs/view/sme-data-h-f-at-sqli-4315404010,Data Engineer,2026-03-24T22:37:34.189498,linkedin
Data Analyst,Data Analyst (Arabic) | $11/hr Remote,Crossing Hurdles,Morocco,2026-03-21,Data & AI,,https://ma.linkedin.com/jobs/view/data-analyst-arabic-%2411-hr-remote-at-crossing-hurdles-4378268142,Data Engineer,2026-03-24T22:37:34.188065,linkedin
Dveloppeur Data Tableau (F/H),Dveloppeur Data Tableau (F/H),SQLI,Rabat,2026-03-19,Data & AI,"sql, tableau",https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-data-tableau-f-h-at-sqli-4314991708,Data Engineer,2026-03-24T22:37:34.187348,linkedin
Backend Developer,Backend & Data Pipeline Engineer,Confidentiel,Casablanca Metropolitan Area,2026-03-19,Software Dev,,https://ma.linkedin.com/jobs/view/backend-data-pipeline-engineer-at-confidentiel-4387361354,Data Engineer,2026-03-24T22:37:34.173744,linkedin
Data Analyst,DATA Analyst,ALTEN,Fez,2026-03-19,Data & AI,,https://ma.linkedin.com/jobs/view/data-analyst-at-alten-4385442664,Data Engineer,2026-03-24T22:37:34.173017,linkedin
Data Analyst,DATA Analyst,ALTEN MAROC,Fez,2026-03-19,Data & AI,,https://ma.linkedin.com/jobs/view/data-analyst-at-alten-maroc-4385443539,Data Engineer,2026-03-24T22:37:34.172150,linkedin
Data Engineer,Data Engineer (Ingestion Administrateur),Orange Business,Casablanca Metropolitan Area,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/data-engineer-ingestion-administrateur-at-orange-business-4377169206,Data Engineer,2026-03-24T22:37:34.171588,linkedin
Architecte Data  Databricks,Architecte Data  Databricks,SQLI,Mechouar,2026-03-19,Data & AI,sql,https://ma.linkedin.com/jobs/view/architecte-data-%E2%80%93-databricks-at-sqli-4387862281,Data Engineer,2026-03-24T22:37:34.170967,linkedin
Me Engineer,ME Engineer,Aptiv,Cercle de Kenitra-Banlieue,2026-03-20,Other,,https://ma.linkedin.com/jobs/view/me-engineer-at-aptiv-4378627220,Data Engineer,2026-03-24T22:37:34.170321,linkedin
Manager Data Engineer - Casablanca,Manager Data Engineer - Casablanca,Artefact,Casablanca,2026-03-22,Data & AI,,https://ma.linkedin.com/jobs/view/manager-data-engineer-casablanca-at-artefact-4315983291,Data Engineer,2026-03-24T22:37:34.169657,linkedin
Data Intern (Stagiaire Data Analyst),Data Intern (Stagiaire Data Analyst),Smollan,Casablanca Metropolitan Area,2026-03-21,Data & AI,,https://ma.linkedin.com/jobs/view/data-intern-stagiaire-data-analyst-at-smollan-4386177054,Data Engineer,2026-03-24T22:37:34.168820,linkedin
Senior Data Engineer  Data Platform & Analytics,Senior Data Engineer  Data Platform & Analytics,Yakeey,Casablanca,2026-03-23,Data & AI,,https://ma.linkedin.com/jobs/view/senior-data-engineer-%E2%80%93-data-platform-analytics-at-yakeey-4388973567,Data Engineer,2026-03-24T22:37:34.156614,linkedin
Data Consultant,Consultant(e) Junior Data & BI,SOFALI,Casablanca Metropolitan Area,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/consultant-e-junior-data-bi-at-sofali-4389469873,Data Engineer,2026-03-24T22:37:34.155392,linkedin
Software Engineer,Software Engineer Python / DevOps,Coface,Mechouar,2026-03-23,Software Dev,python,https://ma.linkedin.com/jobs/view/software-engineer-python-devops-at-coface-4389088659,Data Engineer,2026-03-24T22:37:34.154891,linkedin
Senior Data Engineer - Casablanca,Senior Data Engineer - Casablanca,Artefact,Casablanca Metropolitan Area,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/senior-data-engineer-casablanca-at-artefact-3761574281,Data Engineer,2026-03-24T22:37:34.153310,linkedin
Data Engineer,Data Engineer / Analytics Engineer (H/F),GO & DEV,Rabat,2026-03-18,Data & AI,,https://ma.linkedin.com/jobs/view/data-engineer-analytics-engineer-h-f-at-go-dev-4386890276,Data Engineer,2026-03-24T22:37:34.152649,linkedin
Junior Data Engineer - Casablanca,Junior Data Engineer - Casablanca,Artefact,Casablanca Metropolitan Area,2026-03-23,Data & AI,,https://ma.linkedin.com/jobs/view/junior-data-engineer-casablanca-at-artefact-3928980947,Data Engineer,2026-03-24T22:37:34.151927,linkedin
Data Engineer,Data Engineer (H/F),Smile,Casablanca,2026-03-22,Data & AI,,https://ma.linkedin.com/jobs/view/data-engineer-h-f-at-smile-4275097062,Data Engineer,2026-03-24T22:37:34.138841,linkedin
Data Analyst,Data Analyst,Scalian,Casablanca,2026-03-24,Data & AI,,https://ma.linkedin.com/jobs/view/data-analyst-at-scalian-4364211859,Data Engineer,2026-03-24T22:37:34.137687,linkedin
Data Consultant,"Consultant Senior ou Manager Data Architect - secteur Financier, H/F",EY,75 - Paris,2025-12-23,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/6979430,Data Architect,2026-03-24T22:37:10.246768,france_travail
Technical Senior Architect (H/F),Technical Senior Architect (H/F),,31 - Toulouse,2026-01-29,Other,,https://candidat.francetravail.fr/offres/recherche/detail/8436325,Data Architect,2026-03-24T22:37:10.246760,france_travail
Senior Software Architect (H/F),Senior Software Architect (H/F),,31 - Toulouse,2026-01-29,Software Dev,,https://candidat.francetravail.fr/offres/recherche/detail/8436514,Data Architect,2026-03-24T22:37:10.246753,france_travail
Software Architect - Colomiers (H/F),Software Architect - Colomiers (H/F),,31 - Toulouse,2026-01-29,Software Dev,,https://candidat.francetravail.fr/offres/recherche/detail/8440907,Data Architect,2026-03-24T22:37:10.246747,france_travail
Data Architect,Data Architect (H/F),,40 - Saint-Vincent-de-Tyrosse,2026-01-29,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/8418405,Data Architect,2026-03-24T22:37:10.246740,france_travail
Architect Servicenow (F/H) (H/F),Architect ServiceNow (F/H) (H/F),,92 - Levallois-Perret,2026-02-06,Other,,https://candidat.francetravail.fr/offres/recherche/detail/8814453,Data Architect,2026-03-24T22:37:10.246732,france_travail
Programming Architect C++ - Ubisoft Paris - H/F/Nb,Programming Architect C++ - Ubisoft Paris - H/F/NB,,93 - Montreuil,2026-02-06,Other,,https://candidat.francetravail.fr/offres/recherche/detail/8815933,Data Architect,2026-03-24T22:37:10.246726,france_travail
Data Architect,Data Architect Databricks F/H (H/F),,69 - Lyon,2026-02-06,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/8812642,Data Architect,2026-03-24T22:37:10.246719,france_travail
Archiviste (Gest Gda) (F/H) (H/F),ARCHIVISTE (GEST GDA) (F/H) (H/F),,77 - Moissy-Cramayel,2026-02-20,Other,,https://candidat.francetravail.fr/offres/recherche/detail/9372532,Data Architect,2026-03-24T22:37:10.246714,france_travail
Data Architect,Data Architect F/H (H/F),,59 - Lille,2026-02-20,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9361333,Data Architect,2026-03-24T22:37:10.246707,france_travail
Enterprise Architect - Data Architecture Expert (H/F),Enterprise Architect - Data Architecture Expert (H/F),,Luxembourg,2026-02-23,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9514079,Data Architect,2026-03-24T22:37:10.246700,france_travail
Data Architect,"Data Architect F/H - Systme, rseaux, donnes (H/F)",MICHAEL PAGE INTERNATIONAL FRANCE,59 - Lille,2026-03-02,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9746518,Data Architect,2026-03-24T22:37:10.246688,france_travail
Data Architect,Data Architect - Azure (H/F),,69 - Lyon 7e Arrondissement,2026-03-04,Data & AI,azure,https://candidat.francetravail.fr/offres/recherche/detail/9848330,Data Architect,2026-03-24T22:37:10.246682,france_travail
"Enterprise Architect - Ai, Data & Cloud F/H - Matrise D'Ouvrage Et Fonctionnel (H/F)","Enterprise Architect - AI, Data & Cloud F/H - Matrise d'ouvrage et fonctionnel (H/F)",LEA Linking Executive Associates,34 - Montpellier,2026-03-05,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9916841,Data Architect,2026-03-24T22:37:10.246678,france_travail
Data Architect,Data Architect (H/F),,75 - Paris 9e Arrondissement,2026-03-05,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9933426,Data Architect,2026-03-24T22:37:10.246669,france_travail
Plm Global It/Is Architect - Colomiers (H/F),PLM Global IT/IS Architect - Colomiers (H/F),,31 - Colomiers,2026-03-06,Other,,https://candidat.francetravail.fr/offres/recherche/detail/9951210,Data Architect,2026-03-24T22:37:10.246661,france_travail
Data Architect,DATA ARCHITECT - H/F,,21 - Dijon,2026-03-06,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9991225,Data Architect,2026-03-24T22:37:10.246654,france_travail
Data Architect,DATA ARCHITECT - H/F,,25 - Besanon,2026-03-06,Data & AI,,https://candidat.francetravail.fr/offres/recherche/detail/9991227,Data Architect,2026-03-24T22:37:10.246646,france_travail
