title,title_raw,company,location,date_posted,category,skills,job_url,search_keyword,scraped_at
Qa Automatisation (H/F),QA Automatisation (H/F),MyUnisoft,Rabat,2026-03-16,Other,,https://ma.linkedin.com/jobs/view/qa-automatisation-h-f-at-myunisoft-4364956584,Software Developer,2026-03-18T02:39:28.061383
Software Developer,Développeur Web - Stage PFE,SEGULA Technologies,Méchouar de Casablanca,2026-03-11,Software Dev,,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-web-stage-pfe-at-segula-technologies-4382581990,Software Developer,2026-03-18T02:39:41.714381
Software Developer,Développeur Python IA,Beelix Maroc,Casablanca-Settat,2026-03-17,Software Dev,python,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-python-ia-at-beelix-maroc-4384706009,Software Developer,2026-03-18T02:39:41.715380
Software Developer,Développeur .Net/ Angular,SQLI,Rabat,2026-03-16,Software Dev,sql,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-net-angular-at-sqli-4384051667,Software Developer,2026-03-18T02:39:41.715380
Software Developer,Développeur Full Stack Junior,Capgemini Engineering,Casablanca,2026-03-13,Software Dev,,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-junior-at-capgemini-engineering-4385318057,Backend Developer,2026-03-18T02:40:08.242891
Node.Js Developer,Node.JS Developer,Inetum,Méchouar de Casablanca,2026-03-12,Software Dev,node,https://ma.linkedin.com/jobs/view/node-js-developer-at-inetum-4337636798,Backend Developer,2026-03-18T02:40:08.242891
Back End Developer Node.Js (H/F),Back End Developer Node.Js (H/F),MyUnisoft,Rabat,2026-03-16,Software Dev,node,https://ma.linkedin.com/jobs/view/back-end-developer-node-js-h-f-at-myunisoft-4373997687,Backend Developer,2026-03-18T02:40:08.243891
Software Developer,Développeur Fullstack Vue.js / Node.js (H/F),GO & DEV,Rabat,2026-03-12,Software Dev,node,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-vue-js-node-js-h-f-at-go-dev-4383545622,Backend Developer,2026-03-18T02:40:08.244891
Full Stack Developer,Full Stack Engineer,Publicis Global Delivery (PGD),Préfecture de Casablanca,2026-03-12,Software Dev,,https://ma.linkedin.com/jobs/view/full-stack-engineer-at-publicis-global-delivery-pgd-4384598667,Backend Developer,2026-03-18T02:40:08.244891
Software Developer,Développeur Full Stack (Java/React),Confidential Jobs,Rabat,2026-03-16,Software Dev,"react, java",https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-full-stack-java-react-at-confidential-jobs-4384047156,Backend Developer,2026-03-18T02:40:08.245891
Software Developer,Développeur Fullstack Expérimenté Java / React,ALTEN,Rabat,2026-03-17,Software Dev,"react, java",https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-exp%C3%A9riment%C3%A9-java-react-at-alten-4384458978,Backend Developer,2026-03-18T02:40:08.246891
Senior Frontend Developer (T-Shaped),Senior Frontend Developer (T-Shaped),Yakeey,Casablanca,2026-03-13,Software Dev,,https://ma.linkedin.com/jobs/view/senior-frontend-developer-t-shaped-at-yakeey-4383144191,Backend Developer,2026-03-18T02:40:08.247891
Concepteur Développeur Full-Stack (Java/Devops),Concepteur Développeur Full-Stack (Java/DevOps),Sofrecom Maroc,Casablanca-Settat,2026-03-13,DevOps & Cloud,java,https://ma.linkedin.com/jobs/view/concepteur-d%C3%A9veloppeur-full-stack-java-devops-at-sofrecom-maroc-4385360069,Backend Developer,2026-03-18T02:40:08.247891
Software Developer,Développeur Senior Full Stack (Java/React) H/F,Devoteam,Casablanca,2026-03-17,Software Dev,"react, java",https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-senior-full-stack-java-react-h-f-at-devoteam-4368217306,Backend Developer,2026-03-18T02:40:08.247891
Javascript Fullstack Engineer - Senior,Javascript Fullstack Engineer - Senior,Lumenalta,Maroc,2026-03-16,Software Dev,java,https://ma.linkedin.com/jobs/view/javascript-fullstack-engineer-senior-at-lumenalta-4386381686,Backend Developer,2026-03-18T02:40:08.248891
Software Developer,Développeur Fullstack Sénior – Java / Angular (Dominante Back-End),ALTEN MAROC,Rabat,2026-03-11,Software Dev,java,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-fullstack-s%C3%A9nior-%E2%80%93-java-angular-dominante-back-end-at-alten-maroc-4382871433,Backend Developer,2026-03-18T02:40:08.248891
Javascript Fullstack Engineer - Senior,Javascript Fullstack Engineer - Senior,Lumenalta,Casablanca,2026-03-16,Software Dev,java,https://ma.linkedin.com/jobs/view/javascript-fullstack-engineer-senior-at-lumenalta-4386387212,Backend Developer,2026-03-18T02:40:08.248891
Software Developer,Développeur Java/ JAHIA  H/F,Viveris,Méchouar de Casablanca,2026-03-16,Software Dev,java,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-java-jahia-h-f-at-viveris-4386520958,Backend Developer,2026-03-18T02:40:08.249891
Javascript Fullstack Engineer - Tech Lead,Javascript Fullstack Engineer - Tech Lead,Lumenalta,Maroc,2026-03-16,Software Dev,java,https://ma.linkedin.com/jobs/view/javascript-fullstack-engineer-tech-lead-at-lumenalta-4386399005,Backend Developer,2026-03-18T02:40:08.249891
Back-End Developer Ruby On Rails H/F,Back-end Developer Ruby On Rails H/F,MyUnisoft,Rabat,2026-03-16,Data & AI,,https://ma.linkedin.com/jobs/view/back-end-developer-ruby-on-rails-h-f-at-myunisoft-4313415085,Backend Developer,2026-03-18T02:40:08.250891
Javascript Fullstack Engineer - Senior,Javascript Fullstack Engineer - Senior,Lumenalta,Marrakech,2026-03-16,Software Dev,java,https://ma.linkedin.com/jobs/view/javascript-fullstack-engineer-senior-at-lumenalta-4386381461,Backend Developer,2026-03-18T02:40:08.250891
Software Developer,Développeur Frontend React,VOID,Casablanca-Settat,2026-03-11,Software Dev,react,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-frontend-react-at-void-4384354354,Frontend Developer,2026-03-18T02:40:46.047244
Ingénieur Devops Front End (F/H),Ingénieur devops front end (F/H),Sofrecom Maroc,Rabat,2026-03-16,DevOps & Cloud,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-devops-front-end-f-h-at-sofrecom-maroc-4386319551,Frontend Developer,2026-03-18T02:40:46.049241
Software Developer,Développeur Salesforce - F/H,Niji,Casablanca,2026-03-13,Software Dev,,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-salesforce-f-h-at-niji-4373139983,Web Developer,2026-03-18T02:42:03.418664
Consultant Technique Salesforce,Consultant Technique Salesforce,Inetum,Méchouar de Casablanca,2026-03-12,Other,,https://ma.linkedin.com/jobs/view/consultant-technique-salesforce-at-inetum-4340195256,Web Developer,2026-03-18T02:42:03.418664
Senior Python Engineer – Genai & Devops Expert | Casablanca,Senior Python Engineer – GenAI & DevOps Expert | Casablanca,01TEK,Casablanca,2026-03-17,Data & AI,python,https://ma.linkedin.com/jobs/view/senior-python-engineer-%E2%80%93-genai-devops-expert-casablanca-at-01tek-4386760387,Android Developer,2026-03-18T02:43:23.648090
Ingénieur Devops,Ingénieur DevOps,Capgemini Engineering,Casablanca,2026-03-13,DevOps & Cloud,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-devops-at-capgemini-engineering-4385300794,DevOps Engineer,2026-03-18T02:44:41.248269
DevOps Engineer,DevOps Engineer– Cloud / Kubernetes / GCP  (F/H),CGI,Casablanca,2026-03-13,DevOps & Cloud,"kubernetes, gcp",https://ma.linkedin.com/jobs/view/devops-engineer%E2%80%93-cloud-kubernetes-gcp-f-h-at-cgi-4385527924,DevOps Engineer,2026-03-18T02:44:41.248269
Ingénieur Devops (F/H) - Rabat,Ingénieur DevOps (F/H) - Rabat,Sofrecom Maroc,Rabat,2026-03-11,DevOps & Cloud,,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-devops-f-h-rabat-at-sofrecom-maroc-4384198746,DevOps Engineer,2026-03-18T02:44:41.248269
Ingénieur Cloud Sysops Azure,Ingénieur Cloud SYSOPS Azure,Inetum,Méchouar de Casablanca,2026-03-12,DevOps & Cloud,azure,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-cloud-sysops-azure-at-inetum-4205097458,DevOps Engineer,2026-03-18T02:44:41.250268
Ingenieur Cloud Specialise Gcp,INGENIEUR CLOUD SPECIALISE GCP,ManpowerGroup,Casablanca-Settat,2026-03-16,DevOps & Cloud,gcp,https://ma.linkedin.com/jobs/view/ingenieur-cloud-specialise-gcp-at-manpowergroup-4386368483,DevOps Engineer,2026-03-18T02:44:41.251271
Ingénieur Cloud Azure,Ingénieur Cloud Azure,Inetum,Méchouar de Casablanca,2026-03-12,DevOps & Cloud,azure,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-cloud-azure-at-inetum-4354628740,DevOps Engineer,2026-03-18T02:44:41.251271
Expert/Senior Devops Gcp_ Hybride,Expert/Senior DevOps GCP_ Hybride,SQLI,Casablanca et périphérie,2026-03-17,DevOps & Cloud,"sql, gcp",https://ma.linkedin.com/jobs/view/expert-senior-devops-gcp-hybride-at-sqli-4341221287,DevOps Engineer,2026-03-18T02:44:41.254270
Senior Test Automation Engineer — .Net Saas Erp On Aws,Senior Test Automation Engineer — .NET SaaS ERP on AWS,Forterro,Casablanca et périphérie,2026-03-17,Other,aws,https://ma.linkedin.com/jobs/view/senior-test-automation-engineer-%E2%80%94-net-saas-erp-on-aws-at-forterro-4385910452,DevOps Engineer,2026-03-18T02:44:41.255270
